Store_ID,Municipality_ID,Store_Name,Parent_ID,Banner_ID,Format_ID,Property_Key,Retail_Centre_Raw,Industry_Class,Sub_Category,Ownership_Type,Address,Postal_Code,Latitude,Longitude,Coordinate_Source,Coordinate_Confidence,Store_Size_SF,Grocery_Anchor,Store_Status,Current_Supply_Flag,Future_Supply_Flag,Core_Grocery_Flag,QA_Status,Verification_Status,Primary_Source,Secondary_Source,Source_Date,Confidence,Notes,Source_Adjustment
GRC-001,3,"Yummy Market",,,1,,,445110,"Premium Supermarket",Independent,"1390 Major Mackenzie Dr W, Maple, Vaughan",,,,,"Pending GIS geocoding",50000.0,1,Open,1,0,1,A,Official_Verified,https://yummymarket.com/our-locations/,https://yummymarket.com/about-us/our-history/,"2013 opening / current site",High,"Maple flagship; official history states 50,000 SF. Coordinates intentionally left NULL pending reliable geocoding.",
GRC-002,3,"Maple Grocery",,,1,,,445110,"Ethnic-International Supermarket",Independent,"9699 Jane St, Maple, Vaughan",,,,,"Pending GIS geocoding",,0,Open,1,0,1,A,Maps_Verified,,,,Medium,"South Asian/Sri Lankan/Kerala grocery; retain as store pending stronger official source. Coordinates intentionally left NULL pending reliable geocoding.",
GRC-003,3,"Can-Asia Grocers",,,1,,,445110,"South Asian Supermarket",Independent,"9699 Jane St Unit 3-7, Vaughan",,,,,"Pending GIS geocoding",,0,Open,1,0,1,A,Secondary_Verified,https://www.harroz.ca/our-locations/,,,High,"Food Hub Canada/Harroz current location. Coordinates intentionally left NULL pending reliable geocoding.",
GRC-004,3,"Nations Fresh Foods Vaughan",,1,1,,,445110,"Ethnic-International Supermarket",Independent,"7600 Weston Rd, Woodbridge, Vaughan",,,,,"Pending GIS geocoding",,1,Open,1,0,1,A,Secondary_Verified,https://www.babakitchen.ca/retailers,,,High,"Asian/international full-service grocery. Coordinates intentionally left NULL pending reliable geocoding.",
GRC-005,3,"Mapletri Supermarket",,2,1,,,445110,"Ethnic-International Supermarket",Independent,"100 Edgeley Blvd, Vaughan",,,,,"Pending GIS geocoding",,1,Open,1,0,1,A,Official_Verified,https://mapletri.com/,https://www.babakitchen.ca/retailers,,High,"Current official site. Coordinates intentionally left NULL pending reliable geocoding.",
GRC-006,3,"Kabul Farms Supermarket",,,1,,,445110,"Persian/Middle Eastern Supermarket",Independent,"3120 Rutherford Rd #23, Concord, Vaughan",,,,,"Pending GIS geocoding",,0,Open,1,0,1,A,Secondary_Verified,https://www.harroz.ca/our-locations/,,,High,"Current Harroz/Food Hub location. Coordinates intentionally left NULL pending reliable geocoding.",
GRC-007,3,"KFT Wholesale Cash & Carry",,3,2,,,445110,"Cash & Carry / Wholesale Grocery",Independent,"8500 Keele St, Vaughan",,,,,"Pending GIS geocoding",,0,Open,1,0,0,B,Official_Verified,https://www.kftcnc.ca/,,,High,"Wholesale/cash & carry; excluded from core grocery KPI. Coordinates intentionally left NULL pending reliable geocoding.",
GRC-008,3,"Highland Farms",,4,1,,,445110,"Conventional Supermarket",Independent,"9940 Dufferin St, Vaughan",,,,,"Pending GIS geocoding",,1,Open,1,0,1,A,Maps_Verified,,,,Medium,"Current business discovery. Coordinates intentionally left NULL pending reliable geocoding.",
GRC-009,3,"Fortinos Major MacKenzie",,5,1,,,445110,"Conventional Supermarket",Chain,"2911 Major MacKenzie Dr, Vaughan",,,,,"Pending GIS geocoding",,1,Open,1,0,1,A,Maps_Verified,,,,Medium,"Current business discovery. Coordinates intentionally left NULL pending reliable geocoding.",
GRC-010,3,"Fortinos Woodbridge",,5,1,,,445110,"Conventional Supermarket",Chain,"3940 Hwy 7, Vaughan",,,,,"Pending GIS geocoding",,1,Open,1,0,1,A,Maps_Verified,,,,Medium,"Current business discovery. Coordinates intentionally left NULL pending reliable geocoding.",
GRC-011,3,"Anthony's NOFRILLS Vaughan",,6,3,,,445110,"Discount Supermarket",Chain,"1054 Centre St, Vaughan",,,,,"Pending GIS geocoding",,1,Open,1,0,1,A,Maps_Verified,,,,Medium,"Current business discovery. Coordinates intentionally left NULL pending reliable geocoding.",
GRC-012,3,"Walmart Supercenter Major MacKenzie",,7,4,,,455211,Supercentre,Chain,"1900 Major Mackenzie Dr, Vaughan",,,,,"Pending GIS geocoding",,1,Open,1,0,1,A,Official_Verified,https://www.walmart.ca/en/store/1115-vaughan-on,,,High,"Mass merchant with grocery component. Coordinates intentionally left NULL pending reliable geocoding.",
GRC-013,3,"Walmart Supercentre Applewood",,7,4,,,455211,Supercentre,Chain,"670 Applewood Crescent, Vaughan",,,,,"Pending GIS geocoding",,1,Open,1,0,1,A,Maps_Verified,,,,Medium,"Mass merchant with grocery component. Coordinates intentionally left NULL pending reliable geocoding.",
GRC-014,3,"Nature's Emporium Woodbridge",,8,5,,,445110,"Natural/Organic Grocery",Chain,"8401 Weston Rd, Vaughan",,,,,"Pending GIS geocoding",,0,Open,1,0,0,B,Maps_Verified,,,,Medium,"Specialty/natural grocery; secondary supply. Coordinates intentionally left NULL pending reliable geocoding.",
GRC-015,3,"East Food Vaughan Turkish Market",,,5,,,445110,"Specialty/Gourmet Grocery",Independent,"3590 Rutherford Rd Unit 9-10, Vaughan",,,,,"Pending GIS geocoding",,0,Open,1,0,0,B,Maps_Verified,,,,Medium,"Turkish market. Coordinates intentionally left NULL pending reliable geocoding.",
GRC-016,3,"Urla Fine Foods Vaughan",,,5,,,445110,"Specialty/Gourmet Grocery",Independent,"9100 Jane St Unit 71, Vaughan",,,,,"Pending GIS geocoding",,0,Open,1,0,0,B,Maps_Verified,,,,Medium,"Turkish market & kitchen. Coordinates intentionally left NULL pending reliable geocoding.",
GRC-017,2,"T&T Supermarket Warden",,9,1,,,445110,"Chinese Supermarket",Chain,"7070 Warden Ave, Markham",,,,,"Pending GIS geocoding",,1,Open,1,0,1,A,Maps_Verified,,,,High,"Current store. Coordinates intentionally left NULL pending reliable geocoding.",
GRC-018,2,"T&T Supermarket Unionville",,9,1,,,445110,"Chinese Supermarket",Chain,"8339 Kennedy Rd Building C, Markham",,,,,"Pending GIS geocoding",,1,Relocating,1,1,1,A,Secondary_Verified,https://www.newswire.ca/news-releases/a-massive-t-amp-t-supermarket-is-coming-to-cf-markville-840533255.html,,2026-09-04,High,"Current supply; relocation/expansion planned to CF Markville. Coordinates intentionally left NULL pending reliable geocoding.",
GRC-019,2,"T&T Supermarket Woodbine",,9,1,,,445110,"Chinese Supermarket",Chain,"9255 Woodbine Ave, Markham",,,,,"Pending GIS geocoding",,1,Open,1,0,1,A,Maps_Verified,,,,High,"Current store. Coordinates intentionally left NULL pending reliable geocoding.",
GRC-020,2,"T&T Supermarket CF Markville",,9,1,,"CF Markville",445110,"Chinese Supermarket",Chain,"5000 Hwy 7, Markham",,,,,"Pending GIS geocoding",68000.0,1,Proposed,0,1,1,A,Official_Verified,https://www.newswire.ca/news-releases/a-massive-t-amp-t-supermarket-is-coming-to-cf-markville-840533255.html,,2026-09-04,High,"Future 68,000 SF store planned for 2028; do not count as current supply. Coordinates intentionally left NULL pending reliable geocoding.",
GRC-021,2,FoodyMart,,10,1,,,445110,"Chinese Supermarket",Independent,"5221 Hwy 7, Markham",,,,,"Pending GIS geocoding",,1,Open,1,0,1,A,Official_Verified,https://www.foodymart.com/,,,High,"Official site confirms grocery/fish/kitchen departments. Coordinates intentionally left NULL pending reliable geocoding.",
GRC-022,2,"FreshWay Foodmart",,11,1,1,,445110,"Ethnic-International Supermarket",Independent,"3275 Hwy 7, Markham",,,,,"Pending GIS geocoding",,1,Open,1,0,1,A,Maps_Verified,,,,Medium,"First Markham Place. Coordinates intentionally left NULL pending reliable geocoding.",
GRC-023,2,"Winco Food Mart",,12,1,,,445110,"Ethnic-International Supermarket",Independent,"3155 Hwy 7 East Unit 9, Markham",,,,,"Pending GIS geocoding",,1,Open,1,0,1,A,Official_Verified,https://wincofoodmart.com/,,,High,"Official site lists produce/meat/seafood/dairy/groceries. Coordinates intentionally left NULL pending reliable geocoding.",
GRC-024,2,"Sunny Foodmart",,13,1,,,445110,"Chinese Supermarket",Independent,"7700 Markham Rd, Markham",,,,,"Pending GIS geocoding",,1,Open,1,0,1,A,Maps_Verified,,,,Medium,"Approx. 40,000 SF was noted in working research but not entered without stronger source. Coordinates intentionally left NULL pending reliable geocoding.",
GRC-025,2,"Full Fresh Supermarket",,,1,,,445110,"Chinese Supermarket",Independent,"9390 Woodbine Ave, Markham",,,,,"Pending GIS geocoding",,1,Open,1,0,1,A,Maps_Verified,,,,Medium,"Current discovery. Coordinates intentionally left NULL pending reliable geocoding.",
GRC-026,2,"Sunfood Supermarket",,14,1,,"Denison Centre",445110,"Chinese Supermarket",Independent,"1661 Denison St, Markham",,,,,"Pending GIS geocoding",,1,Open,1,0,1,A,Maps_Verified,,,,Medium,"Current discovery. Coordinates intentionally left NULL pending reliable geocoding.","QA correction: source row fields from Property_ID onward were shifted one column left; source workbook preserved unchanged."
GRC-027,2,"Heisei Mart",,15,5,,"J-Town South",445110,"Japanese Supermarket",Independent,"3160 Steeles Ave E #118, Markham",,,,,"Pending GIS geocoding",,0,Open,1,0,0,B,Official_Verified,https://heiseimart.com/,,,High,"Japanese specialty grocery. Coordinates intentionally left NULL pending reliable geocoding.","QA correction: source row fields from Property_ID onward were shifted one column left; source workbook preserved unchanged."
GRC-028,2,"Village Grocer",,16,1,,,445110,"Premium Supermarket",Independent,"4476 16th Ave, Markham",,,,,"Pending GIS geocoding",,1,Open,1,0,1,A,Maps_Verified,,,,Medium,"Current discovery. Coordinates intentionally left NULL pending reliable geocoding.",
GRC-029,2,"Garden Basket",,17,5,,,445110,"Produce Market",Independent,"9271 Markham Rd, Markham",,,,,"Pending GIS geocoding",,0,Open,1,0,0,B,Maps_Verified,,,,Medium,"Produce-oriented specialty. Coordinates intentionally left NULL pending reliable geocoding.",
GRC-030,2,"Whole Foods Market",,18,5,,,445110,"Natural/Organic Grocery",Chain,"3997 Hwy 7, Markham",,,,,"Pending GIS geocoding",,0,Open,1,0,0,B,Maps_Verified,,,,Medium,"Natural/organic grocery. Coordinates intentionally left NULL pending reliable geocoding.",
GRC-031,2,"Loblaws Bullock Drive",,19,1,,,445110,"Conventional Supermarket",Chain,"200 Bullock Dr, Markham",,,,,"Pending GIS geocoding",,1,Open,1,0,1,A,Maps_Verified,,,,Medium,"Current discovery. Coordinates intentionally left NULL pending reliable geocoding.",
GRC-032,2,"Longo's Markham",,20,1,,,445110,"Premium Supermarket",Chain,"3085 Hwy 7, Markham",,,,,"Pending GIS geocoding",,1,Open,1,0,1,A,Maps_Verified,,,,Medium,"Current discovery. Coordinates intentionally left NULL pending reliable geocoding.",
