YR_Development_Key,Municipality_ID,Development_ID,Site_Development,CRE_Type,Application_ID_Raw,Current_Status,Units,Unit_Type,Confidence,Source_Date,Evidence_Notes,Source_URL,Record_Scope
AU-A001,5,A001,"Highland Gate Redevelopment","Residential / Master-planned","21 Golf Links Drive","Approved / Under Construction",273,"",A,2026-09-05,"Highland Gate is a multi-phase master development; do not add individual lot minor variances to the master total.",https://www.aurora.ca/business-and-development/town-projects/highland-gate-redevelopment/,""
AU-A002,5,A002,"Shining Hill – Proposed Plan of Subdivision","Residential / Greenfield","OPA-2021-02; ZBA-2021-02; SUB-2021-01","Under Review",,"",B,2026-09-05,"",https://www.aurora.ca/business-and-development/town-projects/shining-hill-proposed-plan-of-subdivision/,""
AU-A003,5,A003,"180 Wellington Street East","Mixed-use Residential / MTSA","OPA-2024-02; ZBA-2024-02","Approved / Holding",948,"",A,2026-09-05,"Holding must not be treated as near-term delivery.",https://www.aurora.ca/news/posts/highlights-of-the-meeting-of-council-on-tuesday-april-22-2025/,""
AU-A004,5,A004,"14700–14760 Yonge Street / SmartCentres Yonge & Murray","Mixed-use Residential / Retail","ZBA-2021-04; SP-2021-09","Approved / Holding",900,"",A,2026-09-05,"Earlier application material stated 876 units; latest enacted zoning evidence is 900 and controls the current working record.",https://records.aurora.ca/WebLink/edoc/29326/By-law%20-%20OLT%20Amend%206000-17%20Zoning%20Bylaw%20Amendment%2C%2014700%20and%2014720-14760%20Yonge%20St%20%28File%20ZBA-2021-04%29%20-%2020241018%20-%206649-24.pdf,""
AU-A005,5,A005,"25 & 55 Addison Hall Circle","Residential / Townhouse","OPA-2025-06; ZBA-2025-06; SP-2025-10",Approved,201,"",A,2026-09-05,"Distinguish approved proposed unit count (201) from zoning maximum (202).",https://www.aurora.ca/news/posts/highlights-of-the-meeting-of-council-on-tuesday-december-9-2025/,""
AU-A006,5,A006,"16, 20 & 22 Allaura Boulevard","Residential / Stacked Townhouse","ZBA-2022-08; SUB-2022-02; SP-2022-13",Approved,221,"",A,2026-09-05,"Subdivision/site-plan applications are linked to the same development.",https://www.aurora.ca/news/posts/highlights-of-the-meeting-of-council-on-tuesday-june-23-2026/,""
AU-A007,5,A007,"1289 Wellington Street East","Residential / Townhouse","OPA-2022-02; ZBA-2022-02",Approved,171,"",A,2026-09-05,"OLT history exists; current Council approval is the working status.",https://www.aurora.ca/news/posts/highlights-of-the-meeting-of-council-on-tuesday-june-23-2026/,""
AU-A008,5,A008,"25 Mavrinac Boulevard","Senior Residential / Retirement","OPA/ZBA history; SP-2022-07",Approved,229,"",A,2026-09-05,"Two unit types are included in the 229 total.",https://www.aurora.ca/news/posts/highlights-of-the-meeting-of-council-on-tuesday-november-25-2025/,""
AU-A009,5,A009,"14070 Yonge Street","Residential / Townhouse","Current municipal approvals","Approved / Holding",93,"",A,2026-09-05,"Holding removal should be tracked separately from approval.",https://www.aurora.ca/news/posts/highlights-of-the-meeting-of-council-on-tuesday-november-25-2025/,""
AU-A010,5,A010,"16003 Yonge + 219–257 Old Yonge Street","Residential Infill / Heritage","OPA-2025-03; ZBA-2025-04","Approved / Implementation Pending",152,"",A,2026-09-05,"Red House relocation/heritage conditions form part of development context.",https://www.aurora.ca/media/ri4fnuaz/planning-justification-report.pdf,""
AU-A011,5,A011,"14 & 18 Wellington Street East","Downtown Mixed-use / Residential",ZBA-2024-09,Approved,33,"",A,2026-09-05,"Do not use the older zoning maximum of 18 units; the 2025 proposal/current approval is 33.",https://www.aurora.ca/news/posts/highlights-of-the-meeting-of-council-on-tuesday-october-28-2025/,""
AU-A012,5,A012,"25 & 29 George Street","Residential / Apartment","ZBA-2020-06; SP-2021-11","Approved / Holding",33,"",A,2026-09-05,"25-unit new component + 8 existing units = 33 total; do not double-count the existing 8 as a separate development.",https://records.aurora.ca/WebLink/edoc/30023/Agenda%20-%20Council%20-%2020251125.pdf,""
AU-A013,5,A013,"511–543 Wellington Street West","Residential / Back-to-back Stacked Townhouse","Current municipal approval",Approved,114,"",A,2026-09-05,"Site-plan implementation should be tracked separately if submitted.",https://www.aurora.ca/news/posts/highlights-of-the-meeting-of-council-on-tuesday-december-9-2025/,""
